Title,Abstract,Citation Count,Publication Date,Joy_Score,Confidence_Score,Concern_Score,Curiosity_Score,Analytical_Score,Tentative_Score,Urgency_Score,Sentiment_Score,Primary_Emotions
Biology of disease,Cytokines are protein mediators of cell-to-cell communication important in a variety of physiologic and pathophysiologic processes. Only a decade ago information about cytokines was …,1882,"J Le, J Vilcek - Tumor necrosis factor and interleukin, 1987 - Springer",0,0,0,0,0,0,1,0.2023,['Urgency']
Osteophytes: relevance and biology,OBJECTIVE: Osteophytes are common features of osteoarthritis. This review summarizes the current understanding of the clinical relevance and biology of osteophytes. METHOD: This …,675,"PM Van Der Kraan, WB Van Den Berg - Osteoarthritis and cartilage, 2007 - Elsevier",0,0,0,0,0,0,0,0.0,['Neutral']
Towards a theoretical biology,"… In contrast to this situation, theoretical biology can hardly be … of biology, to explore the possibility of formulating some skeleton of concepts and methods around which theoretical biology …",746,"CH Waddington - Nature, 1968 - nature.com",0,0,0,0,0,0,0,0.0,['Neutral']
Molecular cell biology,"… in molecular biology and virology and an advanced course in cell biology of the nucleus. … for Developmental Biology. He is known for his work in developmental biology and genetics, …",13329,HF Lodish - 2008 - books.google.com,0,0,0,0,0,0,0,0.25,['Neutral']
The Principles of Biology: Volume 1,"… direction of Biology than in any other; and had this work been one dealing with Biology at large… But it is a work on the Principles of Biology; and to bring an exposition of these up to date, …",1916,H Spencer - 2020 - books.google.com,0,0,0,0,0,0,0,0.0,['Neutral']
Theoretical biology.,"The book is a theoretical discussion of biology. The author accepts the vitalistic hypothesis, and rejects the mechanistic, physico-chemical hypotheses of life and the behavior of …",481,J Uexküll - 1926 - psycnet.apa.org,0,0,0,0,0,0,0,-0.2263,['Neutral']
Life: The science of biology,"… what they tell us about the biology of prokaryotes and eukaryotes, including humans. This leads to a chapter describing how our knowledge of molecular biology and genetics underpins …",514,"DE Sadava, DM Hillis, HC Heller - 2011 - books.google.com",0,0,0,0,0,0,0,0.0,['Neutral']
Campbell biology,… 53 Population Ecology 1184 54 Community Ecology 1208 55 Ecosystems and Restoration Ecology 1232 56 Conservation Biology and Global Change 1254 … A Chemical Connection to …,874,"JB Reece, LA Urry, ML Cain, SA Wasserman… - 2014 - thuvienso.hoasen.edu.vn",0,0,0,0,0,0,0,0.0,['Neutral']
Biodefense in the age of synthetic biology,"Scientific advances over the past several decades have accelerated the ability to engineer existing organisms and to potentially create novel ones not found in nature. Synthetic biology, …",132,", … Biodefense Vulnerabilities Posed by Synthetic Biology - 2018 - books.google.com",0,0,0,1,0,1,0,0.6908,"['Curiosity', 'Tentative']"
The molecular biology of coronaviruses,Publisher Summary This chapter discusses the manipulation of clones of coronavirus and of complementary DNAs (cDNAs) of defective-interfering (DI) RNAs to study coronavirus RNA …,1563,"MMC Lai, D Cavanagh - Advances in virus research, 1997 - Elsevier",0,0,0,0,0,0,0,-0.296,['Neutral']
A history of molecular biology,"… on another new development in biology—gene therapy, the … biology, which developed in the middle of the twentieth century. Molecular biology is not merely the description of biology in …",686,M Morange - 2000 - books.google.com,0,0,0,0,0,0,0,0.0,['Neutral']
