Title,Abstract,Citation Count,Publication Date,Joy_Score,Confidence_Score,Concern_Score,Curiosity_Score,Analytical_Score,Tentative_Score,Urgency_Score,Sentiment_Score,Primary_Emotions
Information technology: a strategic opportunity,… respect to information technology in our … information technology on corporate strategy. These few companies had clearly deliniated formal processes to ensure Information Technology …,687,RI Benjamin - 1983 - dspace.mit.edu,0,0,0,0,0,0,0,0.8126,['Neutral']
"INFORMATION TECHNOLOGY FOR MANAGEMENT, (With CD)",,3004,"E Turban, D Leidner, E McLean, J Wetherbe - 2008 - John Wiley & Sons",0,0,0,0,0,0,0,0.0,['Neutral']
Supporting the information technology champion,"… The literature on strategic uses of information technology suggests that ""champions"" are … of 15 information technology (IT) champions and their needs for support from their information …",699,"CM Beath - MIS quarterly, 1991 - JSTOR",0,0,0,0,0,1,0,0.8591,['Tentative']
Power and information technology research: A metatriangulation review,"This study uses a metatriangulation approach to explore the relationships between power and information technology impacts, development or deployment, and management or use in …",556,"Jon (Sean) Jasperson, TA Carte, CS Saunders… - MIS quarterly, 2002 - JSTOR",0,0,0,0,0,0,0,0.0,['Neutral']
Technology and institutions: What can research on information technology and research on organizations learn from each other?,"… technology and organization studies, much can be gained from greater interaction between them. In particular, we argue that information tech… lead of information technology research in …",1824,"WJ Orlikowski, SR Barley - MIS quarterly, 2001 - JSTOR",0,0,0,0,0,0,0,0.4019,['Neutral']
Information technology and the good life,… information technology creates new and immensely complex environments. Our lifeworld is drastically influenced by these developments. The way information technology … of technology …,960,"E Stolterman, AC Fors - Information systems research: relevant theory and …, 2004 - Springer",0,0,1,0,0,0,0,0.2732,['Concern']
Why do people use information technology? A critical review of the technology acceptance model,"Information systems (IS) implementation is costly and has a relatively low success rate. Since the seventies, IS research has contributed to a better understanding of this process and its …",7016,"P Legris, J Ingham, P Collerette - Information & management, 2003 - Elsevier",0,0,0,0,0,0,0,0.6249,['Neutral']
The myths and realities of information technology insourcing,"… outside for use of our data, so prepare a letter back to the chairman of [the outsourcing vendor] and say we appreciate your offer but at this time we consider our information technology …",521,"R Hirschheim, M Lacity - Communications of the ACM, 2000 - dl.acm.org",0,0,0,0,0,0,0,0.2144,['Neutral']
Information technology and the future of cities,… of written information over long distances at almost no cost by using information technologies … expect cities and spatial proximity to gain importance as information technology improves. …,1140,"J Gaspar, EL Glaeser - Journal of urban economics, 1998 - Elsevier",0,0,0,0,0,0,0,0.7778,['Neutral']
"Information technology, globalization and social development","… on the mixed record of the information technology revolution, and of … For the prophets of technology, for the true believers in the … In their view, information technology is a tool for renewed …",993,M Castells - 1999 - academia.edu,0,0,0,0,0,0,0,0.4215,['Neutral']
Information technology and the structuring of organizations,"… the relationship between information technology and … of information technology in organizations is a social phenomenon, and in which the organizational consequences of technology …",2173,"WJ Orlikowski, D Robey - Information systems research, 1991 - pubsonline.informs.org",0,0,0,0,0,0,0,0.0,['Neutral']
The productivity paradox of information technology,"… Loveman, GW An assessment of the productivity impact on information technologies. MIT … and the relationship between information technology and organizational structure. Au- …",4631,"E Brynjolfsson - Communications of the ACM, 1993 - dl.acm.org",0,0,0,0,1,0,0,0.0,['Analytical']
Information technology and the US economy,… technology that are widely understood by technologists and economists. This technology has … In Section II I outline a framework for analyzing the role of information technology in the …,2373,"DW Jorgenson - American Economic Review, 2001 - pubs.aeaweb.org",0,0,0,0,0,0,0,0.0,['Neutral']
Information technology changes the way you compete,"… In assessing the ultimate impact of IS technology, companies must address the five questions that follows. If their answer to one or more of these questions is yes, information technology …",2219,FW McFarlane - 1984 - academia.edu,0,0,0,0,1,0,0,0.4019,['Analytical']
High-tech society: the story of the information technology revolution,"… fairly concise summary of the information technology story so far, … Three key objectives were to make High-Tech Society … wide-eyed enthusiasm of the hightech Pollyannas and the doom-…",389,T Forester - 1987 - books.google.com,0,0,0,0,0,0,0,0.4404,['Neutral']
